seq,tx_ts,rx_ts,latency_ns
544,1763689449088331489,1763689449088250155,-81334
545,1763689449089391065,1763689449089308592,-82473
546,1763689449090451715,1763689449090369696,-82019
547,1763689449091511680,1763689449091430226,-81454
548,1763689449092571349,1763689449092489552,-81797
549,1763689449093631128,1763689449093548416,-82712
550,1763689449094691927,1763689449094609686,-82241
551,1763689449095751706,1763689449095670142,-81564
552,1763689449096811486,1763689449096729209,-82277
553,1763689449097871136,1763689449097788591,-82545
554,1763689449098931915,1763689449098849954,-81961
555,1763689449099991714,1763689449099910133,-81581
556,1763689449101051623,1763689449100969663,-81960
557,1763689449102111421,1763689449102029174,-82247
558,1763689449103172034,1763689449103090204,-81830
559,1763689449104231814,1763689449104150067,-81747
560,1763689449105291445,1763689449105209301,-82144
561,1763689449106351243,1763689449106269424,-81819
562,1763689449107411967,1763689449107331065,-80902
563,1763689449108471803,1763689449108389428,-82375
564,1763689449109531582,1763689449109450050,-81532
565,1763689449110592288,1763689449110510062,-82226
566,1763689449111652141,1763689449111570666,-81475
567,1763689449112711810,1763689449112629233,-82577
568,1763689449113771534,1763689449113688985,-82549
569,1763689449114832314,1763689449114750885,-81429
570,1763689449115892223,1763689449115811212,-81011
571,1763689449116951947,1763689449116870094,-81853
572,1763689449118011727,1763689449117929179,-82548
573,1763689449119072303,1763689449118990135,-82168
574,1763689449120132138,1763689449120052183,-79955
575,1763689449121191473,1763689449121109102,-82371
576,1763689449122251234,1763689449122168558,-82676
577,1763689449123312014,1763689449123230922,-81092
578,1763689449124371812,1763689449124289544,-82268
579,1763689449125431499,1763689449125349000,-82499
580,1763689449126492204,1763689449126410215,-81989
581,1763689449127552003,1763689449127470597,-81406
582,1763689449128611634,1763689449128530257,-81377
583,1763689449129671414,1763689449129589231,-82183
584,1763689449130732212,1763689449130650520,-81692
585,1763689449131791992,1763689449131710495,-81497
586,1763689449132851660,1763689449132769117,-82543
587,1763689449133911273,1763689449133830240,-81033
588,1763689449134971942,1763689449134890659,-81283
589,1763689449136031703,1763689449135950040,-81663
590,1763689449137091427,1763689449137008922,-82505
591,1763689449138151169,1763689449138068526,-82643
592,1763689449139211968,1763689449139129464,-82504
593,1763689449140271766,1763689449140190308,-81458
594,1763689449141331323,1763689449141248746,-82577
595,1763689449142392084,1763689449142310554,-81530
596,1763689449143451845,1763689449143373287,-78558
597,1763689449144511532,1763689449144429206,-82326
598,1763689449145571238,1763689449145488625,-82613
599,1763689449146631999,1763689449146549803,-82196
600,1763689449147691760,1763689449147611555,-80205
601,1763689449148751466,1763689449148669159,-82307
602,1763689449149811227,1763689449149728967,-82260
603,1763689449150871969,1763689449150789627,-82342
604,1763689449151931823,1763689449151850397,-81426
605,1763689449152991584,1763689449152909113,-82471
606,1763689449154051253,1763689449153968680,-82573
607,1763689449155112051,1763689449155029802,-82249
608,1763689449156171849,1763689449156091221,-80628
